word1,word2,score,,,P1,P2,100-3,100-5,100-7,200-3,200-5,200-7,300-3,300-5,300-7,400-3,400-5,400-7,500-3,500-5,500-7,128-3,128-5,128-7,256-3,256-5,256-7,512-3,512-5,512-7
old,new,1.58,,0,پرانا,نئی,0.019372756,0.024422659,0.029671473,-0.05794422,-0.023,-0.017802145,-0.08674357,-0.040363807,-0.002160003,-0.07592935,-0.043951713,-0.039110433,-0.0927574,-0.060634438,-0.035575666,-0.005564254,0.01376275,0.02718509,-0.059981316,-0.030361058,-0.034599096,-0.09539734,-0.05745437,-0.043148533
smart,intelligent,9.2,,1,سمجھدار,ذہین,0.6850466,0.68996197,0.6337667,0.6384219,0.5753202,0.58161145,0.54412115,0.554349,0.52509534,0.50575495,0.49399132,0.5019864,0.500137,0.5072945,0.44267583,0.67148066,0.626997,0.6550225,0.56224716,0.54263145,0.4929278,0.49615815,0.46104255,0.46617547
hard,difficult,8.77,,2,سخت,مشکل,0.44414252,0.45880455,0.5033816,0.3896151,0.38428006,0.37635988,0.35843176,0.35110408,0.33938587,0.35831255,0.3340775,0.30639225,0.33824396,0.32332718,0.30631384,0.43161425,0.44803447,0.47586876,0.37192175,0.36550218,0.3489741,0.3342913,0.30965906,0.30969682
happy,cheerful,9.55,,3,خوش,خوشگوار,0.49509454,0.48124945,0.48320228,0.4397276,0.4359521,0.39838555,0.42715764,0.4002265,0.368215,0.42291418,0.37754112,0.3506689,0.4148008,0.38137606,0.331694,0.4842803,0.50082546,0.44721743,0.42806202,0.40837026,0.3780754,0.4056868,0.36092502,0.35732508
fast,rapid,8.75,,5,تیز,برق,0.7081664,0.76765215,0.78207815,0.6025676,0.6579401,0.68471295,0.505348,0.573871,0.631365,0.4396234,0.52646565,0.58346796,0.4178026,0.47492957,0.5353848,0.65506804,0.7359089,0.7618165,0.5277648,0.6216877,0.652244,0.41959345,0.4935829,0.5375988
happy,glad,9.17,,6,خوش,خوشی,0.5592757,0.5726714,0.57059187,0.5376234,0.500097,0.48233703,0.5349267,0.51543057,0.4844786,0.5259426,0.51070017,0.49294254,0.5269865,0.50487226,0.5010966,0.5695637,0.55072796,0.5616545,0.534834,0.5025252,0.48522466,0.5295707,0.5083687,0.48649144
short,long,1.23,,7,مختصر,طویل,0.74966216,0.7354891,0.76204425,0.7185273,0.7356565,0.72378814,0.67052835,0.68115073,0.7067173,0.6385016,0.65667784,0.6645321,0.60312605,0.62405974,0.64062095,0.75529695,0.7552131,0.7262079,0.68378055,0.7005689,0.70955646,0.61393845,0.62360096,0.63571393
weird,strange,8.93,,9,عجیب,عجیب,0.99999994,1,1,1,1,1,1,1,1,1,1.0000001,1,1,1,1,0.99999994,1,1,1,1,1,1,0.99999994,1
wide,narrow,1.03,,10,وسیع,تنگ,0.1355896,0.12067675,0.12128774,0.1556891,0.10967411,0.056226563,0.13700345,0.0876328,0.072635725,0.086967126,0.05135219,0.04927132,0.10893288,0.04226404,0.04019771,0.13745812,0.13172913,0.11706639,0.1115866,0.087813154,0.06422886,0.09437175,0.05621355,0.034663957
bad,awful,8.42,,11,برا,گھٹیا,0.5016003,0.44213894,0.48896042,0.3889815,0.350153,0.3932697,0.35144106,0.3381293,0.33023375,0.28694764,0.28908068,0.2713064,0.2397601,0.25039643,0.26290056,0.4595116,0.47906944,0.4493757,0.3302697,0.33715993,0.3189353,0.24080609,0.25241226,0.24189359
