,W1,W2,score,,P1,P2,100-3,100-5,100-7,200-3,200-5,200-7,300-3,300-5,300-7,400-3,400-5,400-7,500-3,500-5,500-7,128-3,128-5,128-7,256-3,256-5,256-7,512-3,512-5,512-7
0,love,sex,6.77,,محبت,ملاپ,0.34882808,0.34365547,0.23483068,0.2501024,0.24362896,0.19042653,0.25083014,0.23332714,0.19359402,0.21380608,0.20413736,0.20882362,0.20615005,0.1920859,0.16176352,0.33264163,0.30070376,0.29585665,0.20879549,0.22506317,0.21854025,0.1998134,0.21535426,0.15281978
1,tiger,cat,7.35,,چیتا,بلی,0.47969714,0.29629967,0.36655742,0.3506549,0.29462704,0.29555297,0.3002768,0.31948352,0.31433672,0.29870096,0.28734133,0.29028496,0.27228287,0.25032613,0.24827866,0.31702447,0.34478775,0.35402864,0.28596407,0.25852352,0.3287679,0.2571553,0.26893365,0.22946253
2,tiger,tiger,10,,چیتا,چیتا,1,0.99999994,1,1,1,1,1.0000001,0.99999994,1,1,1,1,1,1,1,1,0.99999994,1,1,1,1,1,1,1
3,book,paper,7.46,,کتاب,کاغذ,0.3155293,0.32851967,0.35381332,0.28530186,0.3266924,0.3110426,0.2338739,0.2973755,0.2762545,0.20253795,0.26530316,0.24157466,0.15770818,0.21513112,0.21393117,0.31735593,0.33353144,0.3239013,0.25995636,0.29724628,0.31069326,0.19781753,0.21460955,0.22642246
4,computer,keyboard,7.62,,کمپیوٹر,کیبورڈ,0.20806651,0.19101042,0.14745823,0.18332121,0.17752214,0.19018784,0.20123158,0.19086453,0.08890275,0.18945372,0.08823891,0.14960073,0.16938126,0.07521588,0.059662588,0.20162721,0.19041097,0.14514665,0.21513484,0.14898518,0.12593783,0.13370278,0.15620144,0.05986041
5,computer,internet,7.58,,کمپیوٹر,انٹرنیٹ,0.5294099,0.53610426,0.5576248,0.4591308,0.47020033,0.44094455,0.39979392,0.38692883,0.38356087,0.36508894,0.3521334,0.37248412,0.35158995,0.35272995,0.34484437,0.5395687,0.5158577,0.5178144,0.44026756,0.40482178,0.39352548,0.32062757,0.34414893,0.33826447
6,plane,car,5.77,,طیارہ,گاڑی,0.5542045,0.5529054,0.55030257,0.4433967,0.42883965,0.4179661,0.4048043,0.3772749,0.37237412,0.3548175,0.30944818,0.31948313,0.30802524,0.29396975,0.28897697,0.5094059,0.5045505,0.4934019,0.44186783,0.3910998,0.37763432,0.32868648,0.30663913,0.2960102
7,train,car,6.31,,ٹرین,گاڑی,0.64409965,0.64171064,0.64939576,0.567589,0.5671907,0.552779,0.5201839,0.5162781,0.49754024,0.47806895,0.47535992,0.4728007,0.4382173,0.4528122,0.44947532,0.6259297,0.635519,0.6356026,0.53892404,0.5478176,0.52109385,0.4473554,0.4529267,0.45672226
8,telephone,communication,7.5,,ٹیلیفون,تبادلہ,0.26188377,0.21920858,0.19583367,0.28836387,0.23463042,0.21828876,0.22802925,0.19835025,0.21771474,0.21379247,0.18215379,0.17757829,0.16087773,0.18217431,0.16962227,0.25933802,0.21519181,0.21410263,0.22371148,0.16647783,0.19097878,0.19911002,0.20028533,0.153155
9,television,radio,6.77,,ٹیلیویژن,ریڈیو,0.71835285,0.6859443,0.6696882,0.607645,0.5861871,0.57247615,0.57751906,0.5212045,0.5183775,0.50865805,0.50900036,0.48691404,0.496314,0.4612122,0.46485907,0.682575,0.6180042,0.63134855,0.5858445,0.55224454,0.52415013,0.48904222,0.47800988,0.44950664
10,media,radio,7.42,,میڈیا,ریڈیو,0.34230295,0.31928962,0.29369906,0.22771198,0.17248745,0.1239857,0.23759893,0.17204493,0.13203827,0.22144784,0.16507778,0.13570118,0.22189786,0.16639328,0.14803049,0.3237456,0.26340133,0.22214642,0.2436251,0.14730735,0.10831502,0.24333659,0.15791303,0.14073566
11,drug,abuse,6.85,,نشہ,گالی,0.38951024,0.3688672,0.32265583,0.31829065,0.28884423,0.2526496,0.27900335,0.24570988,0.2674113,0.20378429,0.27219546,0.21265998,0.21231067,0.23491931,0.19929731,0.30787987,0.32145372,0.28391686,0.30711424,0.28057167,0.26120836,0.23003887,0.20537332,0.2217771
12,bread,butter,6.19,,روٹی,مکھن,0.51194555,0.5530877,0.54635185,0.4298284,0.4618736,0.42314538,0.34980395,0.37269422,0.3692671,0.32679474,0.3250406,0.34464547,0.32701057,0.33148518,0.35501534,0.48957852,0.5145474,0.51631546,0.4234463,0.41315705,0.3871777,0.33721972,0.30561358,0.3515287
13,doctor,nurse,7,,ڈاکٹر,نرس,0.38189742,0.40564886,0.36066848,0.26439047,0.2431448,0.2728395,0.2349075,0.19586423,0.2227038,0.18126756,0.1757917,0.20937687,0.15807937,0.18680671,0.17329514,0.3021799,0.31810343,0.3289849,0.25503257,0.23271264,0.249696,0.14884609,0.15480146,0.15225476
14,professor,doctor,6.62,,پروفیسر,ڈاکٹر,0.8820622,0.86515945,0.8625276,0.80805475,0.8059881,0.807231,0.76845413,0.7753098,0.77277726,0.7398122,0.7314815,0.72445714,0.7156457,0.69729614,0.6959405,0.8542726,0.85635424,0.83698595,0.7894729,0.78126395,0.7889776,0.70953196,0.6986651,0.691476
15,student,professor,6.81,,طالبعلم,پروفیسر,0.4541851,0.43985432,0.43462256,0.37804028,0.36962676,0.38959372,0.32866213,0.30394113,0.31531492,0.29668692,0.27775264,0.2989448,0.28381762,0.23400636,0.2562151,0.43045518,0.42506158,0.4097817,0.35564694,0.36120895,0.35503885,0.2828209,0.25728726,0.26093316
16,smart,student,4.62,,ذہین,طالبعلم,0.36977366,0.34937477,0.3301555,0.22280262,0.24398138,0.23217793,0.22696844,0.20408145,0.23914836,0.19540022,0.20714866,0.191771,0.20888929,0.17348771,0.16994317,0.28395292,0.30560538,0.27151927,0.1974172,0.1970963,0.21712263,0.18607186,0.17325306,0.17434916
17,smart,stupid,5.81,,ذہین,بیوقوف,0.40305483,0.39345428,0.33788562,0.34183472,0.24716401,0.24572417,0.30649793,0.23589464,0.23335333,0.2815173,0.20944446,0.2332643,0.27662927,0.23646569,0.17011471,0.3529821,0.31025913,0.3262436,0.3069301,0.287612,0.17637083,0.2638674,0.20123541,0.20296584
18,company,stock,7.08,,کمپنی,اسٹاک,0.13741502,0.103170544,0.094656035,0.13984437,0.1457176,0.1194177,0.15031101,0.10168127,0.0905893,0.11618923,0.089238524,0.07918693,0.11627079,0.08894477,0.08380728,0.16440141,0.11413048,0.090935566,0.13729216,0.108798526,0.099859074,0.1139895,0.07140334,0.08038888
